Order_ID,Customer_ID,Product_ID,Quantity
9094ad8c-45a5-4e2d-aeae-450162c0b64f,677,204,1
4c71e11e-824b-416e-8a76-9c3b068bc028,468,398,8
a0d2553e-ddc2-4f35-996a-8b58e3097ac2,559,144,4
752db9f8-7022-42a7-932d-31e424fbda79,384,473,5
04e206cf-894f-4f3f-b785-0cea7f8faecf,675,157,2
25cb5f75-1fc9-429b-8317-a71138db8ae0,574,307,7
838a3677-f9c0-485c-89a0-1b5d843d0b2f,92,288,8
6cbc4891-70a2-471c-ba37-514fe2608853,715,67,6
7200f113-d975-419a-8eea-ada24cc9b4ce,65,485,5
b2b73261-a961-4098-a9d8-908b8b4e5cf1,630,404,4
8f09207d-25f1-48fb-b817-a562cc5a60e8,834,283,7
c008cdfc-e3f4-49ae-a1c5-dac10a9110df,500,235,7
fb6aaff8-c274-4343-b85e-98e6ff83e286,466,163,6
7420a675-b34d-4377-b809-f806d2c83084,481,61,8
ec3d8545-3a62-4a78-bd72-d6c377f4abd6,305,126,9
bfbfc184-fe03-4c86-8e06-51e22c79d364,585,381,1
5914b355-c5b8-439e-abab-d369b8c6e9ce,693,80,9
355b13b8-b4ed-4cdf-89c8-d361b4f63b52,756,36,8
6adbcc57-ba4d-4cff-9a58-05978695a14d,346,88,9
0e56c03a-61d1-4812-a552-8cc263dbcd85,858,346,8
960728b6-a077-4d16-8346-cbdc9df900c9,140,132,6
3458bd08-9803-490a-8638-a41254c6108c,56,379,7
df4930b1-524c-4585-bf3c-7abfb69efcd7,518,242,4
1ef0a3f6-38aa-4d83-90d6-5ee37c5d90bb,266,137,5
8e844cd4-dcb0-4ab8-a476-fe943efe32ac,859,257,9
71dd71ff-0bf0-4247-a990-bdf13720baf0,227,29,2
7de64efb-717e-4000-bf4b-85663436819a,954,309,4
aa812895-9644-4588-b5cc-b7a2fb29d2d8,614,440,1
1e14fdc8-95e8-4e0e-a039-33e258b961ab,12,44,9
85e74122-29af-4b89-95b2-8fc9d9e68401,404,267,5
c656a8ed-63e4-44bf-972e-1fc13f8ac3f1,439,50,1
0727cd7a-ec22-4df7-90de-a012c4d70d24,992,133,8
874936fe-77f5-44a3-a38d-bd22c3e6f4c8,555,367,7
9635ae96-477d-4d5a-9c9e-c7dcb7262fff,412,25,9
2c933a1b-6df4-4ca2-baea-253cdb44fa43,361,335,1
3f448e9e-add4-4849-a00d-a3e827b7c6aa,968,301,2
34b03a9a-60b1-4d3e-89b9-9140ff45c481,953,81,3
09f28b79-9747-4e3c-8273-b4a3278b9ac5,319,160,7
8ea949a4-30d1-4958-8be6-8192ef34e1e5,617,120,8
9c7b8f6b-5baa-4953-8092-77eaf3862878,163,49,4
8cd086f4-9b2f-4633-9169-813cdf768bfa,511,496,9
eb778b21-d0d9-464f-b1df-ef562ff89123,140,274,3
e46362cc-30c5-47de-ba27-d1f310295c78,573,316,1
