Transaction_ID,Customer_ID,Product_ID,Quantity
93f22f37-e2ff-4ede-b825-f817ec41a922,326,166,6
736177d5-3067-4efd-9e2b-dc541a4222b3,504,108,6
29efa35c-3d41-47de-99b8-b7e0c3736375,148,228,6
2a80e475-2d1f-4a74-8ba6-cd5444ece702,281,336,8
10b8e3eb-af22-4393-8f5a-f0d3afdb306d,758,383,4
6107bd72-92a6-40aa-937b-f5889ea01b5e,25,136,5
2f5b47d4-a5bd-4e3e-98e3-97c8a7b14b37,157,280,2
39527f29-cc30-4f56-87fd-4341a62fb027,997,416,5
4dfec5b6-a786-410f-bc08-fc24deca6644,805,363,7
0657104b-4c90-475c-b4eb-95f5bf1f61a4,137,267,4
598cd9df-6415-4fda-b74d-4d675d5a8801,179,53,9
8d429b4f-b701-4d09-9b6c-d2aea841adca,958,268,3
dfabbd3d-6900-4354-bcc9-423d631ef23e,673,202,3
716818ba-d44a-4985-b074-f1ae7b9e7add,381,84,3
2d43b3cc-fb23-4816-a81e-407fee580315,30,246,8
06ea611a-2d76-42c0-9097-fe8337896707,61,181,9
4eb8d8dc-f76f-45ba-ac77-9b5ce73bc49a,42,203,8
f1062cfb-5934-4ca1-9ed9-8ac82228edc9,817,375,9
49fa89f1-cb2b-4f14-9e6b-237ba2daad86,162,405,2
cdab9ee7-e83c-4ae8-bcd6-d6c5e6e28b04,531,315,5
85302711-00e3-4819-96b6-716696bfcd6d,120,53,1
7de3f0b7-b66d-417d-a2b9-533b591c76dd,665,381,8
2873e5fa-844e-4c45-b7c2-74bab212bb39,961,222,8
56ac09f6-0be4-4c68-b6db-05cb7de27fdf,632,396,8
bdb12126-b76d-4d27-b514-d3f81180eca0,474,472,4
10d4fe0b-ef3d-45f7-8b68-d3be71270d1c,219,144,8
dd06639c-1954-4143-b27c-740957469e99,123,95,9
ab240ded-55ec-452c-bfe7-9e2e8bf297a8,672,133,8
ff2c8fee-9d84-45b0-bd8d-90db5e0936b8,923,254,3
b506b8df-b9bd-44c2-a634-d375bb305a0c,398,32,2
767b6869-2e14-47b5-837d-e7f108003ed7,66,307,7
63c73580-c748-41d0-99e9-c57e98b7b818,821,331,9
2a3dcbcc-e5c9-46d0-b25e-11a56c45b531,781,24,1
68b5acf7-d796-4bb5-b120-362abb517f62,960,247,1
f80e74a6-cdab-4509-b8e4-4cca7d8a0839,774,224,6
f4ab5e92-89b2-45c7-a792-a8ed2dd1f475,372,164,6
013bf807-988f-4d34-845d-a49205a30064,387,147,6
f95796e3-6af0-4818-9eb5-f5cada4404ae,369,161,2
fd3d42cc-6d0a-4ab2-a2eb-9a57fb4a8f06,41,8,4
7345c215-c6a8-4856-92a2-485ebc27b305,10,293,2
406766a2-b2f3-41a5-abce-d65d6d7242bc,961,322,3
913ecb2f-548b-4e8f-b867-764e78e53bb9,231,246,9
5cda2828-761e-4019-bb5e-a1f3cd6f0541,175,253,5
2b227c81-8aa7-404b-a67b-e5deff02da30,898,430,3
7e3e21c9-ad01-47dd-bb17-4d230146ffa4,946,320,9
69e3253c-ee74-446a-8003-4803b125eff3,87,427,3
5c0e1904-81ca-4199-8213-54e99135c904,583,200,2
3ef8068e-3566-44fc-b7b7-4614d8e58610,552,281,6
b48f16fc-ed88-4de2-b399-2c5db5282c15,55,363,2
4f581311-f018-4e32-b0b4-2b1aa7192c59,418,52,1
a5fb6747-6ad3-4341-b06e-0c6077ace1ea,745,56,8
581eca00-3a53-4e5c-89f8-447ea7eb2e14,494,318,1
15357d9e-b235-4a96-a628-d6425da53746,739,21,8
8a46990e-d9f7-42eb-a0ff-078c488dcdf5,712,17,4
ba9bf88a-17bf-468b-84f8-b0b37aa86323,35,2,9
1b21a504-f8c7-49bc-8258-c806effca8e4,865,128,4
fce4e467-bdbd-4ed0-b80c-e471a1ab233d,25,347,4
c7181c7c-1036-4735-b211-a2da27613dd3,443,1,1
65e07016-bab3-4e56-a0f0-5fa0484fd403,352,346,8
90db9d2d-f764-4228-b287-cd2eba6d321f,460,358,5
20d57ea3-6f7c-4b46-b2ae-15d96260db14,38,118,2
69908f52-47e0-4236-896c-05d4464c22ad,987,345,1
924bd6f8-c156-4d68-a110-a241386291c5,402,2,3
51231cd2-19c7-423e-aa27-1d5b7a67e858,668,23,6
c2047278-cf4e-4892-977b-68ddb5ffd65a,87,464,1
